date,Open,High,Low,Close,Volume
2021-01-01 00:00:00+00:00,1.51,1.865,1.495,1.847,25722549.0
2021-01-02 00:00:00+00:00,1.847,2.012,1.752,1.799,31671064.0
2021-01-03 00:00:00+00:00,1.799,2.808,2.007,2.185,55073422.0
2021-01-04 00:00:00+00:00,2.185,2.573,2.066,2.491,59955405.0
2021-01-05 00:00:00+00:00,2.491,2.634,2.145,2.158,50555207.0
2021-01-06 00:00:00+00:00,2.158,2.628,1.895,1.925,50263975.0
2021-01-07 00:00:00+00:00,1.958,2.652,1.939,2.36,159870278.0
2021-01-08 00:00:00+00:00,2.36,3.815,2.182,3.225,206412154.0
2021-01-09 00:00:00+00:00,3.225,3.681,2.932,3.381,91906875.0
2021-01-10 00:00:00+00:00,3.381,3.762,3.165,3.471,62766977.0
2021-01-11 00:00:00+00:00,3.471,3.516,2.599,3.118,82877500.0
2021-01-12 00:00:00+00:00,3.118,3.919,3.084,3.737,73484689.0
2021-01-13 00:00:00+00:00,3.737,4.175,3.263,3.647,57994893.0
2021-01-14 00:00:00+00:00,3.647,3.791,3.246,3.326,59283112.0
2021-01-15 00:00:00+00:00,3.326,3.635,2.978,3.245,45331739.0
2021-01-16 00:00:00+00:00,3.245,3.699,3.245,3.449,68035606.0
2021-01-17 00:00:00+00:00,3.449,3.999,3.313,3.824,85407766.0
2021-01-18 00:00:00+00:00,3.824,4.153,3.621,3.798,70601713.0
2021-01-19 00:00:00+00:00,3.798,4.09,3.582,3.635,44547768.0
2021-01-20 00:00:00+00:00,3.635,3.739,3.345,3.736,46698656.0
2021-01-21 00:00:00+00:00,3.736,3.736,2.952,2.997,43834765.0
2021-01-22 00:00:00+00:00,2.997,3.504,2.576,3.329,63361382.0
2021-01-23 00:00:00+00:00,3.329,3.606,3.313,3.517,27904470.0
2021-01-24 00:00:00+00:00,3.517,3.797,3.49,3.644,32747555.0
2021-01-25 00:00:00+00:00,3.644,3.987,3.448,3.7,80055958.0
2021-01-26 00:00:00+00:00,3.7,4.099,3.687,4.031,78823456.0
2021-01-27 00:00:00+00:00,4.031,4.033,3.521,3.693,35195110.0
2021-01-28 00:00:00+00:00,3.693,3.952,3.618,3.847,31410527.0
2021-01-29 00:00:00+00:00,3.814,4.012,3.602,3.827,44053151.0
2021-01-30 00:00:00+00:00,3.839,4.325,3.789,4.218,53378198.0
2021-01-31 00:00:00+00:00,4.218,4.792,4.167,4.263,78376267.0
2021-02-01 00:00:00+00:00,4.263,4.616,4.094,4.616,39361629.0
2021-02-02 00:00:00+00:00,4.616,5.393,4.476,5.255,98755962.0
2021-02-03 00:00:00+00:00,5.255,5.783,5.077,5.736,49386327.0
2021-02-04 00:00:00+00:00,5.736,6.616,5.58,6.425,108249482.0
2021-02-05 00:00:00+00:00,6.425,7.125,6.425,6.69,92892157.0
2021-02-06 00:00:00+00:00,6.69,6.808,5.732,6.103,102365494.0
2021-02-07 00:00:00+00:00,6.103,6.9,5.758,6.689,105451103.0
2021-02-08 00:00:00+00:00,6.689,8.105,6.49,7.881,155254261.0
2021-02-09 00:00:00+00:00,7.881,8.566,7.616,7.858,121037873.0
2021-02-10 00:00:00+00:00,7.858,9.07,7.64,9.069,120679902.0
2021-02-11 00:00:00+00:00,9.069,9.695,8.793,9.236,53600048.0
2021-02-12 00:00:00+00:00,9.236,9.905,9.093,9.226,91484664.0
2021-02-13 00:00:00+00:00,9.226,9.519,8.653,8.756,91417968.0
2021-02-14 00:00:00+00:00,8.756,9.208,8.555,8.73,93500423.0
2021-02-15 00:00:00+00:00,8.73,9.304,7.77,8.842,109854635.0
2021-02-16 00:00:00+00:00,8.842,8.99,7.977,8.299,71625205.0
2021-02-17 00:00:00+00:00,8.299,8.42,7.544,8.231,89948578.0
